"Sygnatura czasowa","Uczelnia - skrót (drukowane litery np. AGH, PK, UEK itp.)","Płeć","Wiek","Miejsce zamieszkania","Ilość członków rodziny","Czy Twoi rodzice mieszkają razem","Wykształcenie Matki","Wykształcenie Ojca","W której z podanych branży pracuje Twoja Matka?","W której z podanych branży pracuje Twój Ojciec?","Powód wybrania uczelni","Czas dojazdu na uczelnię","Tygodniowy czas poświęcony na naukę","Łączna liczba niezdanych przedmiotów","Czy uczęszczasz na dodatkowe zajęcia edukacyjne (poza uczelnią)?","Czy ktoś z Twojej rodziny uczęszcza na dodatkowe zajęcia edukacyjne (poza uczelnią/szkołą)?","Czy należysz do organizacji uczelnianych (koła naukowe, AZS, samorząd itp.)","Czy w domu masz dostęp do internetu?","Czy jesteś w związku?","Jak oceniasz swoje relacje z rodziną ","Ile masz wolnego czasu po zajęciach?","Jak często spotykasz się ze znajomymi (poza uczelnią)?","Konsumpcja alkoholu w dzień powszedni","Konsumpcja alkoholu w weekend","Jak oceniasz swoje zdrowie?","Liczba nieuzasadnionych obecności (tak mniej więcej)","Średnia ocen (semestr)","Średnia ocen (rok)"
"2016/11/29 7:01:14 PM CET","AGH","Kobieta","20","Wieś","11","Tak","2","0","Inne","Szkolnictwo","ciekawy kierunek","1","2","0","Nie","Tak","Nie","Tak","Tak","3","4","5","2","3","4","0","","4.0"
"2016/11/29 7:06:17 PM CET","Agh","Mężczyzna","26","Miasto","4","Tak","2","2","Inne","Inne","ciekawy kierunek","3","2","0","Nie","Nie","Nie","Tak","Nie","4","4","3","2","3","4","3","4","4"
"2016/11/29 7:06:24 PM CET","AGH","Mężczyzna","20","Wieś","5","Tak","2","4","Służba cywilna (Administracja, Policja itp.)","Inne","reputacja uczelni","1","3","1","Nie","Nie","Nie","Tak","Tak","3","3","4","2","3","5","3","","3.55"
"2016/11/29 7:07:04 PM CET","PK","Mężczyzna","24","Miasto","4","Tak","4","4","Szkolnictwo","Szkolnictwo","ciekawy kierunek","2","1","0","Nie","Nie","Nie","Tak","Nie","5","5","4","3","5","3","0","4.5","4.5"
"2016/11/29 7:12:42 PM CET","PK","Mężczyzna","24","Wieś","3","Tak","4","4","Szkolnictwo","Szkolnictwo","inne","3","3","0","Tak","Tak","Tak","Tak","Nie","4","1","4","2","2","2","0","4","0"
"2016/11/29 7:17:06 PM CET","AGH","Mężczyzna","19","Wieś","3","Tak","4","0","Szkolnictwo","Inne","reputacja uczelni","2","4","0","Nie","Nie","Tak","Tak","Tak","4","2","3","2","3","4","0","4","4"
"2016/11/29 7:17:53 PM CET","agh","Mężczyzna","23","Wieś","6","Tak","3","2","Inne","Inne","reputacja uczelni","1","2","0","Nie","Nie","Nie","Tak","Nie","4","3","3","3","4","5","0","4.1","4.05"
"2016/11/29 7:18:37 PM CET","Agh","Kobieta","20","Wieś","8","Nie","2","2","Inne","Inne","reputacja uczelni","1","3","0","Tak","Nie","Nie","Tak","Nie","4","3","4","1","2","5","0","","4"
"2016/11/29 7:18:58 PM CET","ur ","Kobieta","23","Wieś","6","Tak","2","2","Inne","Inne","inne","3","2","0","Nie","Nie","Nie","Tak","Tak","4","3","3","1","2","4","0","4","4"
"2016/11/29 7:19:02 PM CET","AGH","Mężczyzna","25","Wieś","5","Tak","3","2","Inne","Inne","reputacja uczelni","4","3","2","Nie","Tak","Nie","Tak","Nie","5","3","5","2","3","5","10","4","4"
"2016/11/29 7:19:26 PM CET","PK","Kobieta","25","Miasto","2","Tak","1","2","Inne","Inne","inne","2","4","0","Tak","Nie","Tak","Tak","Tak","5","1","2","1","1","5","10","3","3"
"2016/11/29 7:19:40 PM CET","UJ","Kobieta","21","Miasto","5","Tak","4","4","Szkolnictwo","Służba cywilna (Administracja, Policja itp.)","ciekawy kierunek","1","3","0","Tak","Tak","Tak","Tak","Nie","4","5","4","2","5","4","0","5","5"
"2016/11/29 7:20:50 PM CET","AGH","Mężczyzna","23","Wieś","4","Tak","4","2","Służba cywilna (Administracja, Policja itp.)","Inne","reputacja uczelni","1","2","5","Nie","Nie","Tak","Tak","Tak","5","4","5","1","2","5","0","3.8","3.6"
"2016/11/29 7:22:07 PM CET","PK","Kobieta","20","Wieś","8","Tak","2","0","Inne","Inne","ciekawy kierunek","1","3","0","Nie","Nie","Nie","Tak","Nie","5","3","3","1","2","4","0","4.0","4.0"
"2016/11/29 7:25:26 PM CET","PK","Mężczyzna","26","Wieś","4","Tak","3","2","Służba cywilna (Administracja, Policja itp.)","Inne","ciekawy kierunek","4","4","1","Tak","Nie","Tak","Tak","Nie","3","4","2","3","4","4","0","4","4"
"2016/11/29 7:26:15 PM CET","PK","Kobieta","23","Wieś","6","Tak","2","2","Inne","Inne","inne","4","4","0","Tak","Tak","Nie","Tak","Tak","4","1","1","1","3","2","10","4","4.5"
"2016/11/29 7:27:16 PM CET","up","Kobieta","23","Miasto","3","Tak","1","1","Służba cywilna (Administracja, Policja itp.)","Służba cywilna (Administracja, Policja itp.)","ciekawy kierunek","1","2","1","Nie","Tak","Nie","Tak","Tak","5","1","2","2","2","4","0","4","4"
"2016/11/29 7:27:22 PM CET","PK","Kobieta","22","Wieś","8","Tak","3","3","Inne","Inne","ciekawy kierunek","4","4","0","Tak","Nie","Nie","Tak","Tak","4","3","2","2","3","4","5","4","4"
"2016/11/29 7:27:32 PM CET","UJ","Kobieta","22","Miasto","3","Tak","4","4","Służba zdrowia","Służba zdrowia","reputacja uczelni","1","4","5","Tak","Nie","Tak","Tak","Tak","4","1","2","2","3","2","2","","3"
"2016/11/29 7:27:39 PM CET","PK","Mężczyzna","21","Miasto","5","Tak","1","4","Inne","Inne","ciekawy kierunek","2","4","0","Tak","Nie","Tak","Tak","Nie","3","2","2","1","2","4","0","4.65","4.77"
"2016/11/29 7:27:52 PM CET","wm","Mężczyzna","20","Wieś","3","Tak","2","2","Inne","Inne","ciekawy kierunek","4","1","1","Nie","Nie","Nie","Tak","Nie","5","5","4","2","2","3","5","3.5","3.5"
"2016/11/29 7:29:17 PM CET","UJ ","Kobieta","23","Miasto","4","Nie","2","4","Służba zdrowia","Służba cywilna (Administracja, Policja itp.)","ciekawy kierunek","2","1","0","Tak","Tak","Tak","Tak","Tak","3","4","4","4","5","4","20","4.3","4.4"
"2016/11/29 7:29:34 PM CET","PK","Mężczyzna","22","Miasto","4","Tak","4","4","Szkolnictwo","Inne","inne","2","2","3","Nie","Tak","Tak","Tak","Nie","5","4","4","3","5","5","3","3.97","3.65"
"2016/11/29 7:30:06 PM CET","PK","Mężczyzna","21","Wieś","4","Tak","2","2","Inne","Inne","ciekawy kierunek","4","3","0","Tak","Nie","Nie","Tak","Nie","3","3","3","2","2","3","0","4","4"
"2016/11/29 7:31:53 PM CET","PK","Mężczyzna","20","Wieś","4","Tak","2","2","Inne","Inne","ciekawy kierunek","1","3","0","Nie","Nie","Nie","Tak","Nie","4","2","2","2","2","4","2","","3.9"
"2016/11/29 7:32:27 PM CET","PK","Mężczyzna","20","Wieś","3","Tak","2","2","Inne","Inne","ciekawy kierunek","1","1","0","Nie","Nie","Nie","Tak","Nie","4","2","5","2","4","4","0","4","4"
"2016/11/29 7:32:57 PM CET","PK","Mężczyzna","21","Miasto","5","Tak","4","2","Szkolnictwo","Inne","blisko do domu","2","2","0","Nie","Tak","Nie","Tak","Tak","4","1","4","2","5","4","2","3.8","3.5"
"2016/11/29 7:33:19 PM CET","PK","Kobieta","23","Miasto","5","Tak","4","4","Szkolnictwo","Inne","reputacja uczelni","2","1","0","Nie","Tak","Nie","Tak","Tak","5","4","5","3","4","4","2","4.5","4.5"
"2016/11/29 7:34:38 PM CET","PK","Mężczyzna","23","Miasto","5","Tak","2","2","Inne","Inne","ciekawy kierunek","2","2","0","Nie","Nie","Nie","Tak","Tak","5","3","3","2","2","4","0","4.40","4.40"
"2016/11/29 7:34:56 PM CET","UR","Mężczyzna","22","Miasto","4","Tak","3","3","Inne","Inne","ciekawy kierunek","2","3","0","Tak","Nie","Nie","Tak","Tak","4","3","3","1","5","4","0","4.5","4.0"
"2016/11/29 7:35:22 PM CET","PK","Mężczyzna","22","Miasto","4","Tak","1","2","Inne","Służba cywilna (Administracja, Policja itp.)","ciekawy kierunek","1","1","0","Nie","Nie","Nie","Tak","Nie","5","4","4","2","4","4","0","4.15","4.00"
"2016/11/29 7:37:27 PM CET","pk","Kobieta","21","Miasto","4","Tak","1","4","Inne","Inne","inne","4","2","0","Tak","Nie","Nie","Tak","Tak","5","4","4","2","3","4","5","4","4"
"2016/11/29 7:37:30 PM CET","UR","Kobieta","22","Miasto","4","Tak","4","2","Służba cywilna (Administracja, Policja itp.)","Inne","ciekawy kierunek","1","2","0","Nie","Tak","Nie","Tak","Nie","4","3","3","2","3","4","1","3","3"
"2016/11/29 7:39:20 PM CET","UR","Mężczyzna","21","Miasto","4","Tak","4","3","Szkolnictwo","Inne","ciekawy kierunek","1","1","3","Nie","Tak","Nie","Tak","Tak","4","4","5","2","4","2","20","3","3"
"2016/11/29 7:40:05 PM CET","pk","Mężczyzna","20","Wieś","43","Tak","3","3","Inne","Inne","ciekawy kierunek","2","2","0","Nie","Nie","Nie","Tak","Nie","4","3","5","5","5","5","0","4.5","4"
"2016/11/29 7:40:13 PM CET","pk","Kobieta","22","Wieś","4","Tak","3","3","Inne","Służba cywilna (Administracja, Policja itp.)","reputacja uczelni","2","2","4","Nie","Nie","Nie","Tak","Nie","3","3","4","4","4","4","2","4","4"
"2016/11/29 7:40:39 PM CET","PK","Kobieta","20","Miasto","4","Tak","2","2","Inne","Inne","ciekawy kierunek","1","3","0","Nie","Nie","Nie","Tak","Nie","4","3","4","2","3","4","0","3.8","3.8"
"2016/11/29 7:41:39 PM CET","UJK ","Kobieta","23","Miasto","4","Tak","2","2","Inne","Inne","reputacja uczelni","4","2","0","Nie","Nie","Nie","Tak","Tak","5","3","2","2","2","4","4","","4"
"2016/11/29 7:41:48 PM CET","UŚ","Mężczyzna","20","Miasto","2","Tak","4","2","Szkolnictwo","Inne","ciekawy kierunek","4","1","0","Nie","Nie","Nie","Tak","Nie","3","4","4","3","4","3","4","3","4"
"2016/11/29 7:43:19 PM CET","AGH","Mężczyzna","22","Miasto","5","Tak","4","4","Szkolnictwo","Inne","ciekawy kierunek","1","4","0","Nie","Nie","Tak","Tak","Nie","5","4","3","2","3","5","0","4.41","4.45"
"2016/11/29 7:43:20 PM CET","AGH","Mężczyzna","21","Miasto","4","Tak","4","4","Inne","Inne","ciekawy kierunek","2","4","0","Tak","Tak","Tak","Tak","Tak","5","3","2","1","2","5","0","4.4","4.4"
"2016/11/29 7:43:48 PM CET","AGH","Mężczyzna","22","Miasto","5","Tak","4","4","Szkolnictwo","Inne","reputacja uczelni","3","3","0","Nie","Tak","Nie","Tak","Nie","5","2","1","1","1","3","0","4.1","4.0"
"2016/11/29 7:43:48 PM CET","AGH","Kobieta","20","Miasto","5","Tak","4","2","Służba cywilna (Administracja, Policja itp.)","Inne","inne","1","2","0","Tak","Tak","Tak","Tak","Tak","4","4","3","3","4","4","10","4.12","4.02"
"2016/11/29 7:43:56 PM CET","AGH","Mężczyzna","21","Miasto","4","Tak","2","4","Inne","Służba cywilna (Administracja, Policja itp.)","reputacja uczelni","1","3","0","Nie","Nie","Tak","Tak","Nie","4","3","5","1","2","4","0","4","4"
"2016/11/29 7:44:09 PM CET","AGH","Mężczyzna","21","Miasto","2","Nie","4","4","Inne","Inne","reputacja uczelni","2","4","0","Nie","Nie","Nie","Tak","Tak","4","2","2","2","2","5","5","4.93","4.87"
"2016/11/29 7:44:20 PM CET","UJK","Kobieta","22","Wieś","5","Tak","2","2","Inne","Inne","blisko do domu","2","2","0","Nie","Tak","Nie","Tak","Tak","5","3","4","3","3","5","2","5","5"
"2016/11/29 7:45:37 PM CET","PK","Mężczyzna","21","Miasto","3","Tak","2","2","Inne","Inne","ciekawy kierunek","2","2","0","Nie","Nie","Tak","Tak","Nie","4","2","2","3","3","4","0","4.3","4.12"
"2016/11/29 7:45:39 PM CET","PK","Mężczyzna","24","Wieś","3","Tak","2","2","Inne","Inne","reputacja uczelni","1","1","0","Nie","Nie","Nie","Tak","Nie","3","4","3","2","2","2","15","4","4"
"2016/11/29 7:45:43 PM CET","AGH","Mężczyzna","21","Miasto","5","Tak","3","4","Inne","Inne","reputacja uczelni","1","4","0","Nie","Nie","Nie","Tak","Nie","5","3","3","1","2","4","3","4","4"
"2016/11/29 7:46:11 PM CET","PK","Mężczyzna","22","Wieś","3","Tak","2","2","Inne","Inne","inne","4","2","0","Nie","Nie","Nie","Tak","Nie","4","3","2","2","3","3","2","4","4"
"2016/11/29 7:46:45 PM CET","uj","Mężczyzna","21","Miasto","5","Tak","4","4","Szkolnictwo","Szkolnictwo","ciekawy kierunek","2","4","0","Nie","Tak","Tak","Tak","Nie","4","1","5","3","5","5","0","4.5","4.35"
"2016/11/29 7:46:56 PM CET","AGH","Mężczyzna","21","Miasto","4","Tak","4","4","Szkolnictwo","Inne","reputacja uczelni","2","4","2","Nie","Tak","Nie","Tak","Tak","4","2","2","1","3","5","20","3.98","4.02"
"2016/11/29 7:48:03 PM CET","AGH","Mężczyzna","21","Miasto","4","Tak","1","1","Inne","Inne","ciekawy kierunek","2","2","0","Nie","Nie","Nie","Tak","Tak","4","2","2","1","2","3","0","4.2","4.2"
"2016/11/29 7:48:21 PM CET","AGH","Mężczyzna","21","Miasto","4","Tak","2","4","Inne","Inne","reputacja uczelni","1","2","0","Nie","Nie","Nie","Tak","Nie","5","5","4","2","3","5","0","4","4"
"2016/11/29 7:48:28 PM CET","AGH","Mężczyzna","21","Miasto","3","Tak","4","4","Służba zdrowia","Służba zdrowia","reputacja uczelni","2","3","0","Tak","Nie","Tak","Tak","Tak","5","3","2","1","2","3","0","4.5","4.5"
"2016/11/29 7:48:30 PM CET","PK","Kobieta","22","Wieś","3","Nie","3","2","Szkolnictwo","Inne","ciekawy kierunek","2","3","5","Nie","Nie","Nie","Tak","Tak","5","2","3","2","3","4","0","4","4"
"2016/11/29 7:48:42 PM CET","agh","Mężczyzna","21","Miasto","4","Tak","2","2","Inne","Inne","ciekawy kierunek","2","2","0","Nie","Tak","Nie","Tak","Nie","3","3","2","1","2","4","0","4.5","4.4"
"2016/11/29 7:48:45 PM CET","PK","Mężczyzna","24","Miasto","5","Tak","4","2","Inne","Inne","ciekawy kierunek","3","4","2","Tak","Nie","Nie","Tak","Nie","3","2","3","5","5","4","1","4","4"
"2016/11/29 7:49:25 PM CET","PK","Mężczyzna","25","Miasto","6","Tak","4","4","Szkolnictwo","Służba cywilna (Administracja, Policja itp.)","reputacja uczelni","2","1","0","Nie","Nie","Nie","Tak","Tak","4","3","2","5","5","3","0","5","5"
"2016/11/29 7:50:25 PM CET","AGH","Mężczyzna","23","Miasto","3","Tak","4","3","Szkolnictwo","Inne","reputacja uczelni","2","3","5","Nie","Nie","Nie","Tak","Nie","5","3","4","4","5","4","8","3.4","3.1"
"2016/11/29 7:50:31 PM CET","PK","Mężczyzna","24","Miasto","2","Nie","2","2","Inne","Inne","ciekawy kierunek","1","1","5","Nie","Nie","Nie","Tak","Tak","4","5","2","1","1","3","10","3","3"
"2016/11/29 7:50:34 PM CET","Pk","Mężczyzna","24","Miasto","4","Tak","4","3","Inne","Inne","ciekawy kierunek","2","1","0","Nie","Nie","Nie","Tak","Tak","4","5","5","1","1","4","0","4.75","4.69"
"2016/11/29 7:50:59 PM CET","PK","Kobieta","23","Wieś","8","Tak","2","2","Służba zdrowia","Inne","ciekawy kierunek","2","2","0","Nie","Nie","Nie","Tak","Tak","5","2","3","1","2","5","1","4.2","4.3"
"2016/11/29 7:53:24 PM CET","PK","Kobieta","21","Miasto","6","Tak","2","2","Inne","Inne","reputacja uczelni","4","4","0","Nie","Nie","Nie","Tak","Tak","4","1","1","2","3","4","10","3.9","3.88"
"2016/11/29 7:55:23 PM CET","PK","Kobieta","23","Miasto","4","Tak","4","4","Inne","Inne","inne","3","1","0","Tak","Nie","Nie","Tak","Nie","3","3","3","4","4","4","10","4.15","4"
"2016/11/29 7:55:49 PM CET","agh","Kobieta","21","Wieś","5","Tak","4","2","Służba zdrowia","Inne","ciekawy kierunek","2","4","0","Tak","Nie","Nie","Tak","Tak","5","1","2","1","2","5","0","4.25","4"
"2016/11/29 7:56:11 PM CET","PK","Kobieta","22","Miasto","4","Tak","2","3","Inne","Służba zdrowia","ciekawy kierunek","2","2","3","Nie","Nie","Nie","Tak","Tak","4","3","1","3","4","4","0","4","4"
"2016/11/29 7:56:49 PM CET","AGH","Mężczyzna","23","Wieś","5","Tak","4","4","Szkolnictwo","Inne","reputacja uczelni","1","2","2","Nie","Nie","Nie","Tak","Tak","5","5","3","3","3","4","0","4","4"
"2016/11/29 7:59:54 PM CET","AGH","Mężczyzna","21","Miasto","4","Tak","2","2","Służba zdrowia","Służba zdrowia","ciekawy kierunek","1","3","0","Nie","Tak","Tak","Tak","Tak","4","1","2","2","2","4","9999","4.9","4.95"
"2016/11/29 8:04:25 PM CET","PK","Kobieta","24","Wieś","4","Tak","1","0","Inne","Inne","ciekawy kierunek","2","4","0","Tak","Tak","Nie","Tak","Nie","5","3","3","1","3","4","10","4","4"
"2016/11/29 8:05:25 PM CET","pk","Kobieta","24","Wieś","5","Tak","4","2","Szkolnictwo","Inne","ciekawy kierunek","1","3","1","Tak","Tak","Tak","Tak","Tak","4","3","3","2","3","3","5","4","4"
"2016/11/29 8:06:33 PM CET","AGH","Mężczyzna","22","Wieś","5","Tak","2","2","Inne","Inne","ciekawy kierunek","1","3","0","Nie","Tak","Nie","Tak","Tak","4","4","3","2","3","2","0","4.45","4.5"
"2016/11/29 8:06:54 PM CET","PK","Mężczyzna","25","Miasto","5","Tak","2","4","Służba cywilna (Administracja, Policja itp.)","Służba cywilna (Administracja, Policja itp.)","ciekawy kierunek","1","2","1","Nie","Nie","Nie","Tak","Nie","5","4","4","2","3","3","20","4.0","4.0"
"2016/11/29 8:07:06 PM CET","PK","Kobieta","23","Miasto","9","Tak","2","2","Inne","Inne","ciekawy kierunek","1","1","0","Nie","Nie","Nie","Tak","Tak","5","5","5","2","2","4","5","4.5","4.1"
"2016/11/29 8:07:13 PM CET","AGH","Mężczyzna","21","Wieś","5","Tak","2","2","Inne","Inne","ciekawy kierunek","1","4","0","Nie","Tak","Tak","Tak","Nie","4","4","4","3","5","4","0","4.12","3.95"
"2016/11/29 8:07:27 PM CET","AGH","Mężczyzna","20","Miasto","3","Tak","4","4","Inne","Szkolnictwo","reputacja uczelni","2","2","0","Nie","Nie","Tak","Tak","Nie","4","5","3","2","3","3","0","4.5","4.5"
"2016/11/29 8:08:35 PM CET","AWF","Kobieta","22","Miasto","5","Tak","3","2","Inne","Inne","reputacja uczelni","2","3","0","Nie","Tak","Nie","Tak","Tak","4","2","2","1","2","4","1","","4 "
"2016/11/29 8:11:43 PM CET","agh","Mężczyzna","22","Wieś","8","Tak","2","2","Inne","Inne","ciekawy kierunek","1","1","1","Nie","Nie","Nie","Tak","Nie","5","3","4","4","5","5","0","3","3"
"2016/11/29 8:11:56 PM CET","Pk","Kobieta","23","Miasto","5","Tak","1","1","Inne","Służba cywilna (Administracja, Policja itp.)","blisko do domu","1","1","0","Nie","Tak","Nie","Tak","Nie","4","2","5","3","3","4","10","4.3","4.2"
"2016/11/29 8:13:41 PM CET","AGH","Mężczyzna","19","Miasto","4","Tak","2","3","Inne","Inne","reputacja uczelni","4","3","0","Nie","Nie","Tak","Tak","Tak","5","3","3","3","4","4","0","4","4"
"2016/11/29 8:13:42 PM CET","agh","Mężczyzna","24","Miasto","10","Nie","3","4","Inne","Inne","inne","2","1","15","Nie","Nie","Nie","Nie","Nie","1","5","5","4","5","2","10","4.7","4.3"
"2016/11/29 8:14:31 PM CET","AGH","Kobieta","19","Wieś","5","Tak","4","4","Inne","Inne","reputacja uczelni","1","3","1","Nie","Nie","Nie","Tak","Tak","4","3","1","1","2","2","10","4","3.5"
"2016/11/29 8:14:53 PM CET","PZPR","Kobieta","37","Wieś","7","Nie","0","1","Służba cywilna (Administracja, Policja itp.)","Inne","reputacja uczelni","4","1","5","Nie","Tak","Tak","Nie","Tak","2","1","5","5","1","2","124","2.9","2.91"
"2016/11/29 8:15:01 PM CET","PK","Mężczyzna","24","Miasto","5","Tak","3","3","Inne","Inne","inne","2","1","3","Tak","Nie","Tak","Tak","Nie","5","5","5","3","5","5","29","3.2","3.4"
"2016/11/29 8:15:16 PM CET","WSRH","Mężczyzna","21","Miasto","37","Tak","4","4","Służba cywilna (Administracja, Policja itp.)","Służba cywilna (Administracja, Policja itp.)","blisko do domu","4","4","0","Tak","Tak","Tak","Tak","Tak","5","1","4","4","1","5","1488","6.0","6.0"
"2016/11/29 8:15:22 PM CET","AGH","Kobieta","21","Miasto","4","Tak","4","4","Szkolnictwo","Inne","ciekawy kierunek","3","2","0","Tak","Tak","Nie","Tak","Tak","4","2","4","2","3","3","3","3.95","4.0"
"2016/11/29 8:15:29 PM CET","UJ","Kobieta","21","Miasto","5","Tak","3","4","Inne","Inne","ciekawy kierunek","1","4","0","Nie","Tak","Tak","Tak","Nie","5","3","4","1","3","4","0","4.6","4.69"
"2016/11/29 8:15:51 PM CET","JP2GMD","Mężczyzna","99","Wieś","15","Nie","0","4","Szkolnictwo","Służba cywilna (Administracja, Policja itp.)","blisko do domu","4","4","15","Nie","Nie","Tak","Nie","Nie","1","5","1","5","5","1","45","0","6"
"2016/11/29 8:16:04 PM CET","AGH","Kobieta","20","Miasto","4","Tak","3","4","Inne","Inne","inne","1","4","0","Nie","Tak","Nie","Tak","Tak","5","1","3","1","2","3","0","4.15","4.16"
"2016/11/29 8:16:11 PM CET","agh","Mężczyzna","19","Miasto","4","Tak","3","3","Inne","Inne","ciekawy kierunek","1","4","1","Nie","Nie","Nie","Tak","Tak","3","2","3","2","3","4","1","4","4"
"2016/11/29 8:16:35 PM CET","AGH","Mężczyzna","22","Miasto","4","Tak","4","4","Służba zdrowia","Inne","ciekawy kierunek","2","2","1","Tak","Tak","Tak","Tak","Tak","4","5","3","2","4","4","10","3.8","3.7"
"2016/11/29 8:16:44 PM CET","AGH","Mężczyzna","21","Miasto","5","Tak","4","4","Szkolnictwo","Inne","reputacja uczelni","2","4","1","Tak","Tak","Tak","Tak","Tak","5","2","3","1","2","5","2","4.0","4.0"
"2016/11/29 8:17:00 PM CET","PK","Kobieta","21","Wieś","6","Tak","0","2","Inne","Inne","ciekawy kierunek","2","4","0","Nie","Nie","Nie","Tak","Nie","4","2","2","1","2","4","4","4","4"
"2016/11/29 8:18:14 PM CET","AGH ","Mężczyzna","20","Miasto","6","Tak","4","4","Szkolnictwo","Szkolnictwo","ciekawy kierunek","3","4","1","Nie","Nie","Nie","Tak","Tak","5","3","3","1","2","5","3","","3.5"
"2016/11/29 8:18:23 PM CET","Agh","Mężczyzna","25","Wieś","6","Tak","1","2","Inne","Inne","inne","1","2","0","Nie","Tak","Nie","Tak","Tak","4","3","3","2","4","4","10","3.5","3.5"
"2016/11/29 8:18:33 PM CET","PŚk","Kobieta","23","Wieś","5","Tak","4","2","Szkolnictwo","Inne","blisko do domu","4","2","0","Nie","Nie","Nie","Tak","Tak","4","2","2","2","4","2","2","4","4"
"2016/11/29 8:18:54 PM CET","AGH","Mężczyzna","20","Wieś","5","Tak","4","4","Służba cywilna (Administracja, Policja itp.)","Inne","reputacja uczelni","4","3","0","Tak","Nie","Nie","Tak","Tak","4","4","3","1","1","4","0","4","4"
"2016/11/29 8:18:54 PM CET","AGH","Mężczyzna","20","Miasto","4","Tak","4","4","Szkolnictwo","Inne","reputacja uczelni","2","2","0","Nie","Nie","Nie","Tak","Tak","4","4","3","2","4","4","20","4","4"
"2016/11/29 8:19:08 PM CET","WIMIP","Mężczyzna","23","Miasto","2","Tak","2","2","Inne","Inne","reputacja uczelni","1","1","1","Nie","Nie","Nie","Tak","Tak","3","5","3","2","3","4","2","4","4"
"2016/11/29 8:19:28 PM CET","UJ","Kobieta","20","Miasto","0","Nie","0","0","Inne","Inne","ciekawy kierunek","4","4","8","Tak","Tak","Tak","Nie","Nie","1","1","5","5","5","5","11","3.0","3.0"
